x_ind_var_tab,y_dep_var_tab
4.03913,2.8662
3.8157,3.07527
3.52665,2.73387
4.03656,3.15677
4.37539,3.23921
4.04014,2.80827
3.84299,3.19846
3.58894,2.69425
3.55489,2.78245
3.7886,2.86502
3.97131,3.25025
3.75787,3.02318
4.12168,2.86689
3.82745,2.80896
5.05306,3.44588
5.04278,3.69051
5.07696,3.4395
5.00395,3.3941
3.66393,2.41364
4.28055,3.28801
4.11337,2.97009
4.05111,2.74677
3.87415,3.03143
3.91174,2.94333
3.69794,2.87894
5.04235,3.51925
4.27545,3.32593
3.88465,2.98497
3.75873,2.85538
4.29797,3.20854
3.93844,2.85608
4.09154,3.01479
4.18982,3.08046
3.46201,2.56376
4.87501,3.39324
3.63016,2.72007
4.21098,2.91083
4.30204,3.13549
3.9288,3.03557
3.90855,2.94351
5.11399,3.72262
3.65799,2.76044
4.1285,3.22573
4.16561,3.3131
4.28878,2.97009
4.76947,3.30958
4.15427,3.28017
3.87746,2.88914
5.03695,3.59647
3.76388,2.93307
4.1881,2.79925
4.31654,2.9319
3.85983,2.90119
4.03281,2.93592
4.09969,2.94375
3.53744,2.74432
3.80047,2.75087
3.65709,3.00959
3.9526,2.91083
3.8865,2.92595
4.12861,2.86179
4.2421,2.85046
3.70124,2.90001
4.19891,3.31943
5.10109,3.69997
3.71576,2.70694
4.07948,2.93827
3.83181,2.92108
3.98715,2.89939
3.77061,2.85608
5.08347,3.74571
3.66305,2.75722
3.7939,2.68045
3.83838,3.03601
3.63796,2.61274
3.84567,3.04452
3.80296,2.99523
3.77397,2.79536
3.82038,2.63391
4.25899,3.35154
5.03803,3.50572
3.79902,2.85477
3.46686,2.81442
3.90162,2.84395
4.48261,3.05076
5.01396,3.41388
4.07847,2.86751
4.06716,2.91872
3.69663,2.70627
3.68292,2.71918
3.983,2.76989
4.058,3.14975
5.0351,3.73134
4.27427,2.99069
3.86988,3.09993
4.32152,3.20445
3.62621,2.57858
4.80285,3.30124
3.91655,2.97354
4.09748,2.78226
